先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
遊び:あそび | noun | playing, play (margin between on and off, gap before pressing button or lever has an effect)
は:は | postposition | topic marker particle, indicates contrast with another option (stated or unstated), adds emphasis
ここ:ここ | pronoun | here (place physically close to the speaker, place pointed by the speaker while explaining), this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker), these next ... (followed by a duration noun and a non past sentence: time period ...
まで:まで | postposition | until (a time), till, to, up to, to (a place), as far as, to (an extent), up to, so far as, even, only, merely
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
が:が | postposition | indicates sentence subject (occasionally object), indicates possessive (esp. in literary expressions), but, however, still, and
いる:いる | verb | to be (of animate objects), to exist, to stay, (after the -te form of a verb) verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing)
こと:こと | noun | thing, matter, incident, occurrence, event, something serious, trouble, crisis, circumstances, situation, state of affairs, work, business, affair, after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to, nominalizing suffix, pretending to ..., playin...
が:が | postposition | indicates sentence subject (occasionally object), indicates possessive (esp. in literary expressions), but, however, still, and
ばれたら:ばれたら | verb | to swell (from inflammation), to become swollen
怒られる:おこられる | verb | to get angry, to get mad, to tell someone off, to scold, to be angular, to be square
から:から | postposition | from (e.g. time, place, numerical quantity), since, from (originator), by, because, since, out of (constituent, part), through (e.g. window, vestibule), after, since
"う:"う | noun | 
うん:うん | interjection | yes, yeah, uh huh
ごめん:ごめん | interjection | your pardon, declining (something), dismissal, permission
また:また | conjunction | again, and, also, still (doing something)
今度:こんど | adjective | now, this time, next time, another time
遊ぼう:あそぼう | verb | to play, to enjoy oneself, to have a good time, to mess about (with alcohol, gambling, philandery, etc.), to be idle, to do nothing, to be unused, to go to (for pleasure or for study), to intentionally throw a ball to lower the batter's concentration
ね:ね | postposition | indicates emphasis, agreement, request for confirmation, etc., is it so, hey, come on, listen, not
残念そう:ざんねんそう | adjective | 
な:な | verb | be, is, indicates past or completed action, indicates light imperative
顔:かお | noun | face, visage, look, expression, countenance, honor, honour, face, influence, notoriety
の:の | postposition | indicates possessive, nominalizes verbs and adjectives, substitutes for "ga" in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question
あつこ:あつこ | noun | bad fox
を後:をご | postposition | 
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
して:して | verb | to do, to cause to become, to make (into), to turn (into), to serve as, to act as, to work as, to wear (clothes, a facial expression, etc.), to judge as being, to view as being, to think of as, to treat as, to use as, to decide on, to choose, to be sensed (of a smell, noise, etc.), to be (in a state...
廃校:はいこう | noun | abolition or closing of a school
を:を | postposition | indicates direct object of action, indicates subject of causative expression, indicates an area traversed, indicates time (period) over which action takes place, indicates point of departure or separation of action, indicates object of desire, like, hate, etc.
出た:でた | verb | to leave, to exit, to go out, to come out, to get out, to leave (on a journey), to depart, to start out, to set out, to move forward, to come to, to get to, to lead to, to reach, to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, ...
先生:せんせい | noun | teacher, master, doctor, with names of teachers, etc. as an honorific, previous existence
こんばんは:こんばんは | interjection | good evening
今:いま | adjective | now, the present time, just now, soon, immediately, (one) more
から:から | postposition | from (e.g. time, place, numerical quantity), since, from (originator), by, because, since, out of (constituent, part), through (e.g. window, vestibule), after, since
ここ:ここ | pronoun | here (place physically close to the speaker, place pointed by the speaker while explaining), this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker), these next ... (followed by a duration noun and a non past sentence: time period ...
を:を | postposition | indicates direct object of action, indicates subject of causative expression, indicates an area traversed, indicates time (period) over which action takes place, indicates point of departure or separation of action, indicates object of desire, like, hate, etc.
離れる:はなれる | verb | to be separated, to be apart, to be distant, to leave, to go away, to leave (a job, etc.), to quit, to give up, to lose connection with, to drift away from
こと:こと | noun | thing, matter, incident, occurrence, event, something serious, trouble, crisis, circumstances, situation, state of affairs, work, business, affair, after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to, nominalizing suffix, pretending to ..., playin...
に:に | postposition | at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. "once a month"), and, in addition to, if, although
なった:なった | verb | to become, to get, to grow, to be, to reach, to attain, to result in, to prove to be, to consist of, to be composed of, to succeed, to be complete, to change into, to be exchanged for, to play a role, to be promoted, to do ...
よ:よ | postposition | indicates certainty, emphasis, contempt, request, etc., used when calling out to someone, used to catch one's breath or get someone's attention, yo!
じゃあ:じゃあ | postposition | then, well, so, well then, combination of 'de' and 'wa' particles, plain copula
また:また | conjunction | again, and, also, still (doing something)
場所:ばしょ | noun | place, location, spot, position, room, space, basho, wrestling tournament
が:が | postposition | indicates sentence subject (occasionally object), indicates possessive (esp. in literary expressions), but, however, still, and
変わったら:かわったら | verb | to change, to be transformed, to be altered, to vary, to move to, to be different, to be uncommon, to be unusual
連絡する:れんらくする | verb | to contact, to get in touch, contacting, getting in touch, communication, call, message, connection, coordination, junction, intercalary, intercalaris, internuncial
